Genotype,Age,Strain,Perturbation type,Data type,Data source,Source,Comments
aak-2,day-4 adult,N2,See comment,microarray,GSE77111,"Hou et al., 2016",overexpression
acs-3,young adult,N2,mutant,microarray,GSE48605,"Ward et al., 2014",
age-1,young adult,N2,mutant,microarray,GSE18200,"Iser et al., 2011",
ash-2,young adult,N2,mutant,microarray,GSE61094,"Robert et al., 2014",dissected germline
bcat-1,young adult,N2,RNAi,RNA-Seq,GSE60672,"Mansfeld et al., 2015","has adult age of 1, 10 and 20 days data"
c34b2.8,young adult,N2,RNAi,microarray,GSE9897,"Falk et al., 2008",
cav-1,day-1 adult,N2,RNAi,RNA-Seq,GSE100045,"Roitenburg et al., 2017",
cco-1,day-1 adult,N2,RNAi,RNA-Seq,GSE78990,"Merkwirth et al., 2016",
cde-1,young adult,N2,mutant,microarray,GSE18202,"van Wolfswinkel et al., 2009",germline
ced-4,young adult,N2,mutant,microarray,GSE54024,"Yee et al., 2014",
cep-1,young adult,N2,RNAi,microarray,Supplementary table,"Baruah et al., 2014",
cep-1,young adult,N2,mutant,microarray,Supplementary table,"Greiss et al., 2008",
cgh-1,young adult,N2,RNAi,microarray,GSE33084,"Scheckel et al., 2012",
cgh-1,young adult,N2,mutant,microarray,GSE33084,"Scheckel et al., 2012",
clk-1,young adult,N2,mutant,microarray,Supplementary table,"Christina et al., 2009",
cpf-1,young adult,N2,RNAi,RNA-Seq,GSE79822,"Garrido-Lecca et al., 2016",
crh-1,L4,N2,mutant,microarray,GSE40809,"Ma et al., 2012",https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-40809/samples/
csr-1,young adult,N2,RNAi,germline RNA-Seq,GSE67954,"Campbell et al., 2015",
cyc-1,young adult,N2,RNAi,microarray,Supplementary table,"Christina et al., 2009",
d2030.4,young adult,N2,RNAi,microarray,GSE9897,"Falk et al., 2008",
daf-10,young adult,N2,mutant,microarray,GSE41943,"Gaglia et al., 2012",
daf-12,L4,N2,mutant,qPCR,Supplementary table,"Shostak et al., 2004",
daf-12,L4,N2,mutant,microarray,GSE41661,"Ma et al., 2012",https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-41661/samples/
daf-16,young adult,N2,mutant,RNA-Seq,GSE72426,"Chen et al., 2015",
daf-16,day-1 adult,N2,mutant,RNA-Seq,GSE70117,"Heimbucher et al., 2015",
daf-16,day-4 adult,N2,mutant,microarray,GSE27677,"Uno et al., 2013",
daf-16,young adult,N2,mutant,microarray,GSE62297,"Zhang et al., 2015",
daf-16,young adult,N2,mutant,microarray,Supplementary table,"Walther et al., 2015",
daf-16,young adult,N2,mutant,RNA-Seq,PRJEB8029,"Essers et al., 2014",
daf-2,day-4 adult,N2,mutant,microarray,GSE77111,"Hou et al., 2016",
daf-2,young adult,N2,mutant,RNA-Seq,GSE76946,"Knutson et al., 2016",
daf-2,day-1 adult,N2,mutant,RNA-Seq,GSE94077,"Son et al., 2017",
